,user_id,genre,rating
0,1.0,contemporary,1.5
1,1.0,fiction,2.5
2,1.0,mystery,2.5
3,1.0,romance,3.0
4,1.0,history,2.5
5,1.0,ebooks,2.5
6,1.0,fantasy,5.0
7,1.0,memoir,2.5
8,1.0,thriller,2.5
9,1.0,paranormal,2.5
10,1.0,classics,1.0
11,1.0,horror,2.5
12,1.0,nonfiction,2.5
13,1.0,crime,2.5
14,1.0,religion,2.5
15,1.0,science,2.5
16,1.0,biography,2.5
17,1.0,art,2.5
18,1.0,travel,2.5
19,1.0,psychology,2.5
20,1.0,music,2.5
21,1.0,philosophy,2.5
22,1.0,suspense,2.5
23,1.0,comics,2.5
24,1.0,spirituality,5.0
25,1.0,christian,2.5
26,1.0,poetry,2.5
27,1.0,manga,2.5
28,1.0,business,2.5
29,1.0,cookbooks,2.5
30,1.0,sports,2.5
31,2.0,contemporary,2.5
32,2.0,fiction,1.4444444444444444
33,2.0,mystery,2.5
34,2.0,romance,2.5
35,2.0,history,4.0
36,2.0,ebooks,3.0
37,2.0,fantasy,2.5
38,2.0,memoir,5.0
39,2.0,thriller,2.5
40,2.0,paranormal,5.0
41,2.0,classics,2.5
42,2.0,horror,2.5
43,2.0,nonfiction,2.5
44,2.0,crime,2.5
45,2.0,religion,2.5
46,2.0,science,2.5
47,2.0,biography,2.5
48,2.0,art,2.5
49,2.0,travel,2.5
50,2.0,psychology,2.5
51,2.0,music,2.5
52,2.0,philosophy,5.0
53,2.0,suspense,2.5
54,2.0,comics,2.5
55,2.0,spirituality,5.0
56,2.0,christian,2.5
57,2.0,poetry,2.5
58,2.0,manga,2.5
59,2.0,business,2.0
60,2.0,cookbooks,2.5
61,2.0,sports,2.5
62,4.0,contemporary,0.3333333333333333
63,4.0,fiction,0.1925
64,4.0,mystery,0.5510204081632654
65,4.0,romance,0.5102040816326531
66,4.0,history,0.5510204081632654
67,4.0,ebooks,1.0
68,4.0,fantasy,0.6122448979591837
69,4.0,memoir,2.5
70,4.0,thriller,1.1111111111111112
71,4.0,paranormal,2.5
72,4.0,classics,0.3884297520661157
73,4.0,horror,1.0625
74,4.0,nonfiction,1.3333333333333333
75,4.0,crime,2.5
76,4.0,religion,1.2222222222222219
77,4.0,science,0.9375
78,4.0,biography,2.0
79,4.0,art,5.0
80,4.0,travel,2.5
81,4.0,psychology,2.5
82,4.0,music,2.5
83,4.0,philosophy,2.5
84,4.0,suspense,3.0
85,4.0,comics,2.5
86,4.0,spirituality,2.5
87,4.0,christian,2.5
88,4.0,poetry,2.5
89,4.0,manga,2.5
90,4.0,business,2.5
91,4.0,cookbooks,2.5
92,4.0,sports,2.0
93,6.0,contemporary,2.5
94,6.0,fiction,2.5
95,6.0,mystery,2.5
96,6.0,romance,2.5
97,6.0,history,2.5
98,6.0,ebooks,2.5
99,6.0,fantasy,2.5
100,6.0,memoir,4.0
101,6.0,thriller,2.5
102,6.0,paranormal,2.5
103,6.0,classics,2.5
104,6.0,horror,2.5
105,6.0,nonfiction,2.5
106,6.0,crime,2.5
107,6.0,religion,2.5
108,6.0,science,2.5
109,6.0,biography,2.5
110,6.0,art,2.5
111,6.0,travel,2.5
112,6.0,psychology,2.5
113,6.0,music,2.5
114,6.0,philosophy,2.5
115,6.0,suspense,2.5
116,6.0,comics,2.5
117,6.0,spirituality,2.5
118,6.0,christian,2.5
119,6.0,poetry,2.5
120,6.0,manga,2.5
121,6.0,business,2.5
122,6.0,cookbooks,2.5
123,6.0,sports,2.5
124,8.0,contemporary,2.0
125,8.0,fiction,2.5
126,8.0,mystery,5.0
127,8.0,romance,2.5
128,8.0,history,2.25
129,8.0,ebooks,1.75
130,8.0,fantasy,1.25
131,8.0,memoir,2.5
132,8.0,thriller,2.5
133,8.0,paranormal,2.5
134,8.0,classics,2.25
135,8.0,horror,5.0
136,8.0,nonfiction,3.0
137,8.0,crime,4.0
138,8.0,religion,3.0
139,8.0,science,2.5
140,8.0,biography,4.0
141,8.0,art,2.5
142,8.0,travel,2.5
143,8.0,psychology,4.0
144,8.0,music,2.5
145,8.0,philosophy,1.1875
146,8.0,suspense,2.5
147,8.0,comics,2.5
