book_id,user_id,rating,genre
258,1,5,fantasy
4081,2,4,fiction
260,2,5,philosophy
9296,2,5,spirituality
2318,2,3,business
26,2,4,history
315,2,3,ebooks
33,2,4,fiction
301,2,5,fiction
2686,2,5,business
3753,2,5,paranormal
8519,2,5,memoir
70,4,4,science
264,4,3,history
388,4,4,contemporary
18,4,5,fiction
27,4,5,paranormal
21,4,5,mystery
2,4,5,fiction
23,4,5,contemporary
24,4,5,paranormal
964,4,4,classics
103,4,5,romance
255,4,2,fiction
35,4,5,contemporary
287,4,3,romance
337,4,4,science
26,4,3,history
84,4,4,mystery
58,4,4,fiction
1117,4,3,horror
660,4,3,thriller
111,4,2,mystery
5,4,4,romance
413,4,4,classics
8,4,4,fiction
2172,4,4,classics
65,4,4,fantasy
297,4,4,fantasy
45,4,4,contemporary
113,4,4,fiction
325,4,5,classics
476,4,3,fiction
6351,6,4,memoir
2732,8,5,fantasy
1432,8,3,nonfiction
479,8,4,history
3020,8,5,horror
6195,8,4,classics
614,8,4,crime
4622,8,5,contemporary
9114,8,5,poetry
194,8,4,philosophy
14,8,5,fantasy
2584,8,5,classics
55,8,5,fantasy
772,8,4,psychology
778,8,5,fantasy
1937,8,3,ebooks
493,8,5,philosophy
362,8,5,philosophy
1967,8,3,religion
529,8,5,philosophy
5425,8,5,history
1237,4,5,contemporary
145,4,2,romance
36,4,5,fantasy
102,4,5,art
222,4,4,mystery
200,4,4,thriller
13,4,4,ebooks
640,4,3,science
693,4,5,horror
575,4,3,history
55,4,4,fantasy
268,1,3,classics
5556,1,3,classics
3638,1,3,classics
1796,1,5,spirituality
867,1,3,contemporary
47,1,3,contemporary
2738,1,3,romance
1296,4,3,suspense
50,4,4,nonfiction
87,4,5,horror
86,4,4,classics
123,4,4,ebooks
32,4,4,classics
28,4,3,contemporary
33,4,3,fiction
42,4,5,history
249,4,4,contemporary
158,4,4,classics
373,4,4,fiction
184,4,4,fantasy
495,4,4,biography
350,4,3,nonfiction
492,4,4,mystery
219,4,4,religion
288,4,4,mystery
11,4,4,history
245,4,5,contemporary
301,4,4,fiction
1057,4,3,fiction
596,4,3,thriller
782,4,3,romance
426,4,3,contemporary
397,9,3,fiction
658,9,4,classics
101,9,5,biography
344,9,4,memoir
372,9,4,memoir
943,9,5,nonfiction
1923,9,4,nonfiction
122,9,4,romance
212,9,5,classics
1642,9,4,classics
317,9,4,memoir
33,9,3,fiction
26,9,2,history
9,9,1,contemporary
81,9,1,nonfiction
60,9,5,crime
494,9,2,suspense
238,9,3,contemporary
14,9,4,fantasy
570,9,5,ebooks
795,9,4,classics
2193,9,2,contemporary
11,9,1,history
3417,9,5,fiction
4139,9,5,contemporary
1055,9,4,fiction
181,9,5,crime
5,9,5,romance
119,9,4,contemporary
4815,9,5,classics
1221,9,3,contemporary
1301,9,2,contemporary
1986,9,2,biography
1057,9,2,fiction
1037,9,2,contemporary
963,9,2,thriller
596,9,2,thriller
1388,9,2,ebooks
7868,9,2,suspense
1407,9,2,thriller
227,9,2,suspense
213,9,2,ebooks
587,9,4,history
664,9,4,ebooks
476,9,2,fiction
325,9,2,classics
407,9,5,contemporary
1311,9,2,fiction
10,9,5,history
76,9,4,history
171,9,4,fiction
111,11,2,mystery
11,11,4,history
94,11,5,classics
2559,11,5,fiction
522,11,3,mystery
258,11,3,fantasy
408,11,3,nonfiction
516,11,4,fiction
6944,11,3,philosophy
426,11,4,contemporary
495,11,3,biography
574,11,3,nonfiction
8,11,5,fiction
26,11,3,history
33,11,4,fiction
3560,11,5,contemporary
233,11,5,fantasy
325,11,4,classics
3703,11,3,fiction
2079,11,4,contemporary
1853,11,3,classics
9606,11,3,fiction
7277,11,4,contemporary
115,11,4,fiction
177,8,5,mystery
47,11,4,contemporary
8,15,5,fiction
2,15,4,fiction
5,15,4,romance
101,15,5,biography
4,15,3,mystery
24,15,4,paranormal
11,15,5,history
27,15,4,paranormal
18,15,4,fiction
21,15,3,mystery
65,15,5,fantasy
13,15,4,ebooks
33,15,5,fiction
26,15,3,history
2903,15,4,art
230,15,4,classics
10,15,5,history
76,15,5,history
471,15,4,fiction
483,15,5,religion
2339,15,5,classics
709,15,5,contemporary
167,15,5,classics
361,15,3,fiction
326,15,5,crime
87,15,5,horror
304,15,5,ebooks
100,15,4,religion
306,15,5,psychology
337,15,5,science
92,15,4,fiction
887,15,3,fiction
119,15,5,contemporary
310,15,5,contemporary
465,15,4,contemporary
8440,15,4,poetry
71,15,4,paranormal
1329,15,5,classics
795,15,5,classics
2193,15,4,contemporary
3002,15,4,ebooks
241,15,5,fiction
4043,15,4,nonfiction
148,15,4,fiction
68,15,5,contemporary
1144,15,4,science
941,15,4,contemporary
782,15,4,romance
1993,15,5,fiction
1217,15,5,ebooks
2347,15,5,suspense
7260,15,4,romance
9363,15,4,fantasy
688,15,5,fiction
3340,15,5,thriller
14,15,4,fantasy
550,15,4,ebooks
115,15,5,fiction
8842,15,3,ebooks
344,15,4,memoir
171,15,5,fiction
36,15,5,fantasy
572,18,4,science
3566,18,3,ebooks
2584,18,4,classics
557,18,4,romance
1102,18,2,contemporary
344,18,4,memoir
3551,18,2,crime
60,18,3,crime
101,18,4,biography
372,18,3,memoir
943,18,4,nonfiction
1923,18,4,nonfiction
2615,18,4,cookbooks
4054,18,5,nonfiction
3273,4,2,sports
1037,4,4,contemporary
100,4,3,religion
48,4,4,fiction
95,4,4,ebooks
1311,4,3,fiction
387,4,4,religion
497,4,5,fiction
2190,4,4,fiction
1733,4,3,fiction
1301,4,3,contemporary
489,4,5,fiction
1435,4,4,romance
1380,4,5,classics
221,4,4,horror
401,4,4,fiction
131,4,4,history
3469,4,5,classics
662,18,4,classics
2770,18,5,nonfiction
9287,18,2,science
13,18,4,ebooks
119,18,4,contemporary
1544,18,4,classics
426,18,4,contemporary
3219,18,3,thriller
55,18,4,fantasy
48,18,4,fiction
65,18,5,fantasy
405,18,4,ebooks
3068,18,4,ebooks
3202,18,4,classics
7538,18,5,fiction
7254,18,5,classics
264,22,2,history
284,22,4,biography
350,22,5,nonfiction
8329,18,4,contemporary
45,8,3,contemporary
378,24,4,classics
323,24,4,classics
100,24,4,religion
1144,24,4,science
1752,24,5,classics
860,24,4,classics
2188,24,4,contemporary
1031,24,5,fiction
2304,24,5,ebooks
7770,24,4,fiction
2142,24,5,philosophy
4149,24,3,history
233,24,4,fantasy
948,24,4,classics
1936,24,5,ebooks
2738,24,4,romance
2586,24,4,mystery
1970,24,3,ebooks
483,24,4,religion
1329,24,4,classics
7409,24,4,fantasy
9,24,4,contemporary
326,24,5,crime
26,24,3,history
33,24,4,fiction
289,24,5,fantasy
662,24,5,classics
7638,22,3,fantasy
442,22,4,science
1142,22,4,thriller
3425,22,5,contemporary
176,22,5,fantasy
349,22,4,mystery
232,22,2,thriller
1589,22,4,contemporary
1900,22,4,fiction
670,22,4,suspense
1498,22,4,horror
739,22,4,suspense
488,22,2,thriller
865,22,3,mystery
1987,22,5,fantasy
2352,22,2,suspense
168,22,5,paranormal
3314,22,2,thriller
48,22,5,fiction
2673,22,2,contemporary
9,22,2,contemporary
1236,22,3,fiction
289,22,5,fantasy
4810,22,4,history
130,18,5,classics
14,25,4,fantasy
8336,25,4,fiction
653,25,5,fantasy
5374,25,4,classics
872,25,4,classics
8949,25,5,fiction
977,25,5,fantasy
4602,25,4,fiction
7277,25,4,contemporary
5730,25,5,classics
483,25,5,religion
4531,25,5,classics
58,25,4,fiction
4,25,4,mystery
13,25,4,ebooks
2339,25,5,classics
5940,25,5,classics
65,25,5,fantasy
2975,25,4,fiction
148,24,3,fiction
136,24,3,romance
