goodreads_book_id,tag_id,count,tag_name
1,22973,673,paranormal
6,22973,702,paranormal
10,22973,5,paranormal
365,22973,21,paranormal
2002,22973,5,paranormal
5417,22973,2,paranormal
6294,22973,47,paranormal
6554,22973,8,paranormal
10583,22973,221,paranormal
10965,22973,59,paranormal
10987,22973,103,paranormal
12067,22973,254,paranormal
12985,22973,14,paranormal
13621,22973,27,paranormal
13833,22973,19,paranormal
13835,22973,20,paranormal
14383,22973,1064,paranormal
15309,22973,74,paranormal
18490,22973,220,paranormal
22206,22973,22,paranormal
24472,22973,20,paranormal
24766,22973,316,paranormal
25099,22973,49,paranormal
25101,22973,28,paranormal
25103,22973,20,paranormal
27003,22973,52,paranormal
28248,22973,4,paranormal
28249,22973,33,paranormal
30183,22973,1864,paranormal
30225,22973,611,paranormal
30226,22973,427,paranormal
31331,22973,148,paranormal
31341,22973,204,paranormal
32446,22973,32,paranormal
32767,22973,11,paranormal
33456,22973,259,paranormal
34452,22973,9,paranormal
34605,22973,5,paranormal
36159,22973,8,paranormal
41899,22973,72,paranormal
45432,22973,50,paranormal
47212,22973,1271,paranormal
47959,22973,61,paranormal
48037,22973,155,paranormal
51428,22973,379,paranormal
52318,22973,25,paranormal
53168,22973,43,paranormal
59819,22973,100,paranormal
59829,22973,319,paranormal
62571,22973,25,paranormal
66655,22973,52,paranormal
67513,22973,654,paranormal
71252,22973,20,paranormal
72929,22973,31,paranormal
74928,22973,27,paranormal
84132,22973,674,paranormal
84133,22973,649,paranormal
84136,22973,1278,paranormal
84144,22973,789,paranormal
89717,22973,311,paranormal
91478,22973,521,paranormal
102953,22973,6,paranormal
102958,22973,3,paranormal
104159,22973,64,paranormal
116563,22973,20,paranormal
125553,22973,48,paranormal
125926,22973,662,paranormal
125956,22973,9,paranormal
136638,22973,5,paranormal
140091,22973,13,paranormal
140097,22973,453,paranormal
149267,22973,130,paranormal
155291,22973,87,paranormal
155421,22973,177,paranormal
161846,22973,5,paranormal
169848,22973,3,paranormal
199786,22973,509,paranormal
215543,22973,8,paranormal
219535,22973,14,paranormal
229149,22973,3,paranormal
230003,22973,12,paranormal
245700,22973,4,paranormal
263050,22973,95,paranormal
263148,22973,163,paranormal
263173,22973,68,paranormal
263179,22973,667,paranormal
267869,22973,8,paranormal
281235,22973,48,paranormal
293101,22973,136,paranormal
298567,22973,160,paranormal
346087,22973,8,paranormal
355917,22973,16,paranormal
359410,22973,125,paranormal
395851,22973,323,paranormal
395922,22973,530,paranormal
407234,22973,385,paranormal
444304,22973,49,paranormal
456057,22973,6,paranormal
483445,22973,3,paranormal
534733,22973,6,paranormal
544891,22973,391,paranormal
561456,22973,195,paranormal
588369,22973,10,paranormal
663098,22973,144,paranormal
676924,22973,150,paranormal
690926,22973,32,paranormal
693016,22973,17,paranormal
762053,22973,229,paranormal
769483,22973,39,paranormal
807968,22973,9,paranormal
813214,22973,69,paranormal
831829,22973,16,paranormal
833710,22973,12,paranormal
927979,22973,393,paranormal
943402,22973,308,paranormal
1157452,22973,8,paranormal
1162543,22973,156,paranormal
1270615,22973,95,paranormal
1422252,22973,153,paranormal
1656001,22973,1296,paranormal
1811543,22973,1115,paranormal
2146957,22973,17,paranormal
2272813,22973,136,paranormal
2299110,22973,880,paranormal
2331954,22973,9,paranormal
2548866,22973,25,paranormal
2679633,22973,1155,paranormal
2798094,22973,388,paranormal
2977487,22973,507,paranormal
2992061,22973,354,paranormal
3090465,22973,201,paranormal
3112850,22973,334,paranormal
3342764,22973,4,paranormal
3432478,22973,360,paranormal
3475268,22973,571,paranormal
3609763,22973,85,paranormal
3777732,22973,2756,paranormal
4497978,22973,774,paranormal
4935682,22973,8,paranormal
5126859,22973,66,paranormal
5489684,22973,66,paranormal
5618698,22973,547,paranormal
6080889,22973,112,paranormal
6329547,22973,712,paranormal
6344097,22973,6,paranormal
6344534,22973,4,paranormal
6388558,22973,1055,paranormal
6406018,22973,16,paranormal
6441509,22973,258,paranormal
6441654,22973,2,paranormal
6539596,22973,4,paranormal
6571723,22973,75,paranormal
6582637,22973,903,paranormal
6600137,22973,282,paranormal
6686092,22973,133,paranormal
6723348,22973,100,paranormal
6763961,22973,382,paranormal
6917952,22973,751,paranormal
6918909,22973,161,paranormal
6937878,22973,97,paranormal
7046495,22973,346,paranormal
7090447,22973,90,paranormal
7100490,22973,156,paranormal
7124095,22973,353,paranormal
7171637,22973,2420,paranormal
7234828,22973,278,paranormal
7488244,22973,1547,paranormal
7619292,22973,171,paranormal
7640705,22973,15,paranormal
7736086,22973,8,paranormal
7739934,22973,316,paranormal
7740152,22973,1139,paranormal
7747374,22973,444,paranormal
7800188,22973,131,paranormal
7831742,22973,210,paranormal
7948945,22973,319,paranormal
8046350,22973,315,paranormal
8087906,22973,1119,paranormal
8113940,22973,294,paranormal
8177526,22973,207,paranormal
8235178,22973,50,paranormal
8458018,22973,40,paranormal
8525590,22973,113,paranormal
8534899,22973,143,paranormal
8685612,22973,527,paranormal
8724779,22973,12,paranormal
8811134,22973,96,paranormal
9361589,22973,539,paranormal
9397967,22973,492,paranormal
9578590,22973,215,paranormal
9662386,22973,160,paranormal
9666812,22973,231,paranormal
9681214,22973,397,paranormal
9915707,22973,151,paranormal
9943270,22973,126,paranormal
9995135,22973,500,paranormal
10209997,22973,79,paranormal
10215349,22973,1106,paranormal
10305231,22973,43,paranormal
10324808,22973,142,paranormal
10429045,22973,901,paranormal
10445208,22973,167,paranormal
10661081,22973,44,paranormal
10790376,22973,161,paranormal
10800916,22973,531,paranormal
11051889,22973,358,paranormal
11235712,22973,361,paranormal
11324166,22973,541,paranormal
11387392,22973,161,paranormal
11594257,22973,262,paranormal
11714997,22973,137,paranormal
11765920,22973,503,paranormal
11946245,22973,74,paranormal
11947829,22973,392,paranormal
11970096,22973,56,paranormal
12027429,22973,54,paranormal
12119529,22973,255,paranormal
12177850,22973,4,paranormal
12232938,22973,351,paranormal
12288282,22973,488,paranormal
12444166,22973,671,paranormal
12812550,22973,1028,paranormal
12959086,22973,17,paranormal
13047090,22973,1601,paranormal
13170596,22973,11,paranormal
13223520,22973,946,paranormal
13323842,22973,533,paranormal
13522957,22973,849,paranormal
13538992,22973,752,paranormal
13546173,22973,13,paranormal
13578175,22973,11,paranormal
13638125,22973,481,paranormal
14061955,22973,241,paranormal
14367051,22973,16,paranormal
15513156,22973,224,paranormal
15704486,22973,16,paranormal
15861491,22973,93,paranormal
15985373,22973,10,paranormal
16054217,22973,665,paranormal
16131489,22973,41,paranormal
16479439,22973,21,paranormal
17167166,22973,303,paranormal
17199504,22973,450,paranormal
17255435,22973,496,paranormal
17331828,22973,216,paranormal
17333174,22973,137,paranormal
17339590,22973,2,paranormal
17378527,22973,772,paranormal
17562900,22973,419,paranormal
17563080,22973,625,paranormal
17878931,22973,335,paranormal
17901125,22973,146,paranormal
17925397,22973,134,paranormal
17934530,22973,25,paranormal
18081809,22973,44,paranormal
18166936,22973,143,paranormal
18337259,22973,1,paranormal
18602341,22973,43,paranormal
18630542,22973,31,paranormal
18705209,22973,59,paranormal
18813530,22973,104,paranormal
18816603,22973,91,paranormal
20423680,22973,13,paranormal
20662728,22973,19,paranormal
20797535,22973,4,paranormal
20926278,22973,74,paranormal
21943246,22973,47,paranormal
22062202,22973,391,paranormal
22341276,22973,43,paranormal
23128304,22973,11,paranormal
23129410,22973,118,paranormal
23252517,22973,210,paranormal
24378015,22973,194,paranormal
25372801,22973,17,paranormal
25494343,22973,49,paranormal
27209407,22973,119,paranormal
28260587,22973,99,paranormal
28965131,22973,33,paranormal
2,20939,447,mystery
359,20939,36,mystery
1431,20939,20,mystery
1849,20939,106,mystery
2657,20939,246,mystery
3464,20939,48,mystery
